index,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
1647,Train,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",0.673,0.886,1.0,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,216773.0,322807655.0,2278164.0,95270.0,1153629875.0
19137,Lil Baby,Freestyle,Too Hard,0.877,0.517,2.0,-5.426,0.0706,0.217,0.0,0.143,0.255,119.996,162053.0,529727050.0,2276440.0,48665.0,381995040.0
659,Creedence Clearwater Revival,Have You Ever Seen The Rain,Pendulum (Expanded Edition),0.741,0.697,0.0,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133.0,299246333.0,2268246.0,33609.0,975300588.0
15868,WALK THE MOON,Shut Up and Dance,TALKING IS HARD,0.578,0.866,1.0,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,199080.0,408341372.0,2255537.0,68133.0,1283596592.0
16151,The Lumineers,Sleep On The Floor,Cleopatra,0.389,0.431,7.0,-8.061,0.0344,0.249,0.0,0.13,0.275,142.14,211851.0,199243222.0,2255098.0,31232.0,357076227.0
2795,Kylie Minogue,Can't Get You out of My Head,Fever,0.766,0.563,9.0,-7.516,0.0339,0.0263,0.683,0.115,0.964,126.007,230640.0,323882925.0,2254181.0,48539.0,335199834.0
16919,Sam Feldt,Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,Way Back Home (feat. Conor Maynard) [Sam Feldt Edit],0.737,0.747,10.0,-4.818,0.0323,0.269,0.0,0.219,0.447,105.943,192453.0,231410614.0,2252733.0,54689.0,298937808.0
19922,Mc Poze do Rodo,Poesia Acústica 11: Nada Mudou,Poesia Acústica 11: Nada Mudou,0.725,0.622,7.0,-5.573,0.0438,0.579,0.0,0.144,0.356,119.985,600000.0,195957011.0,2251642.0,68835.0,96301697.0
13932,Gaab,Tem Café,Melhor Viagem,0.63,0.415,0.0,-13.398,0.394,0.0348,0.0,0.0878,0.285,113.043,262734.0,232115707.0,2239393.0,53164.0,103902984.0
13682,Thaman S,"Tum Tum (From ""Enemy - Tamil"")","Tum Tum (From ""Enemy - Tamil"")",0.741,0.761,8.0,-5.414,0.143,0.759,0.000607,0.126,0.912,147.047,228568.0,319919998.0,2237321.0,32803.0,51312507.0
18196,Bryant Myers,Hasta Abajo,KrING,0.714,0.671,5.0,-5.119,0.362,0.289,0.0,0.325,0.641,169.732,229827.0,456399961.0,2236350.0,36921.0,301988410.0
15936,Ankit Tiwari,"Galliyan (From ""Ek Villain"")",Best Of Shraddha Kapoor,0.552,0.75,10.0,-5.215,0.039,0.445,7.37e-05,0.291,0.4,89.999,340400.0,305155746.0,2235257.0,51241.0,43683565.0
1110,Phil Collins,Another Day in Paradise - 2016 Remaster,...But Seriously (Deluxe Edition),0.78,0.565,3.0,-7.32,0.0306,0.736,0.00269,0.063,0.365,101.967,322133.0,465264237.0,2232875.0,61955.0,331410674.0
17078,Ferrugem,Atrasadinha - Live,Por Inteiro (Ao Vivo),0.676,0.844,7.0,-3.396,0.109,0.498,0.0,0.866,0.716,159.969,172767.0,471221317.0,2232442.0,37882.0,229828064.0
2528,Santana,Maria Maria (feat. The Product G&B),Supernatural (Legacy Edition),0.777,0.601,2.0,-5.931,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973.0,472278090.0,2230928.0,50459.0,213049650.0
1362,Frédéric Chopin,Nocturne Op. 9 No. 2,JUST THE BEST MUSIC Vol. 2 Solo Piano Relax Playlist,0.446,0.0146,10.0,-31.047,0.12,0.991,0.945,0.116,0.0815,137.697,302269.0,213646433.0,2230373.0,121178.0,17283960.0
14807,Xand Avião,Basta Você Me Ligar - Ao Vivo,DVD Novo dos Barões da Pisadinha Ao Vivo,0.599,0.914,5.0,-2.415,0.0629,0.5,0.0,0.694,0.831,168.008,182977.0,408084405.0,2230170.0,30483.0,171791229.0
